dx,abs_err
0.3,0.163576
0.3,0.0956913
0.3,0.073119
0.3,0.0585639
0.3,0.048045
0.3,0.0400154
0.3,0.0336822
0.3,0.0285763
0.3,0.0243947
0.3,0.020929
0.3,0.0180297
0.3,0.0155861
0.3,0.0135137
0.3,0.011747
0.3,0.0102343
0.3,0.00893422
0.3,0.00781309
0.3,0.00684351
0.3,0.00600284
0.3,0.00527227
0.3,0.00463607
0.3,0.00408102
0.3,0.00359597
0.3,0.00317143
0.3,0.00279933
0.3,0.00247278
0.3,0.00218586
0.3,0.00193348
0.3,0.00171127
0.3,0.00151542
0.3,0.00134267
0.3,0.00119016
0.3,0.00105542
0.3,0.000936289
0.3,0.000830891
0.3,0.000737584
0.3,0.000654931
0.3,0.000581675
0.3,0.000516714
0.3,0.000459079
0.3,0.000407922
0.3,0.000362494
0.3,0.000322138
0.3,0.000286274
0.3,0.00025439
0.3,0.000226037
0.3,0.000200816
0.3,0.000178375
0.3,0.000158405
0.3,0.000140629
0.3,0.000124806
0.3,0.000110721
0.3,9.81822e-05
0.3,8.70223e-05
0.3,7.70922e-05
0.3,6.826e-05
0.3,6.04092e-05
0.3,5.34371e-05
0.3,4.72529e-05
0.3,4.17768e-05
0.3,3.69389e-05
0.3,3.26779e-05
0.3,2.89405e-05
0.3,2.56803e-05
0.3,2.28572e-05
0.3,2.04357e-05
0.3,1.83846e-05
0.3,1.66751e-05
0.3,1.52791e-05
0.3,1.41681e-05
0.3,1.3312e-05
0.3,1.26786e-05
0.3,1.22344e-05
0.3,1.19458e-05
0.3,1.17811e-05
0.3,1.17117e-05
0.3,1.1713e-05
0.3,1.1765e-05
0.3,1.18515e-05
0.3,1.19601e-05
0.3,1.20817e-05
0.3,1.22093e-05
0.3,1.23381e-05
0.3,1.24646e-05
0.3,1.25866e-05
0.3,1.27025e-05
0.3,1.28115e-05
0.3,1.29132e-05
0.3,1.30073e-05
0.3,1.3094e-05
0.3,1.31736e-05
0.3,1.32463e-05
0.3,1.33125e-05
0.3,1.33728e-05
0.3,1.34274e-05
0.3,1.34768e-05
0.3,1.35216e-05
0.3,1.35619e-05
0.3,1.35983e-05
0.3,1.36311e-05
