t,x,analytic,simulated
0,0,1,1
0,0.3,0.948349,0
0,0.6,0.899365,0
0,0.9,0.852912,0
0,1.2,0.808858,0
0,1.5,0.767079,0
0,1.8,0.727459,0
0,2.1,0.689885,0
0,2.4,0.654251,0
0,2.7,0.620458,0
0,3,0.588411,0
0,3.3,0.558019,0
0,3.6,0.529196,0
0,3.9,0.501862,0
0,4.2,0.475941,0
0,4.5,0.451358,0
0,4.8,0.428044,0
0,5.1,0.405935,0
0,5.4,0.384968,0
0,5.7,0.365084,0
0,6,0.346227,0
0,6.3,0.328344,0
0,6.6,0.311385,0
0,6.9,0.295301,0
0,7.2,0.280049,0
0,7.5,0.265584,0
0,7.8,0.251866,0
0,8.1,0.238857,0
0,8.4,0.22652,0
0,8.7,0.214819,0
0,9,0.203724,0
0,9.3,0.193201,0
0,9.6,0.183222,0
0,9.9,0.173758,0
0,10.2,0.164784,0
0,10.5,0.156272,0
0,10.8,0.148201,0
0,11.1,0.140546,0
0,11.4,0.133287,0
0,11.7,0.126402,0
0,12,0.119873,0
0,12.3,0.113682,0
0,12.6,0.10781,0
0,12.9,0.102241,0
0,13.2,0.0969604,0
0,13.5,0.0919523,0
0,13.8,0.0872028,0
0,14.1,0.0826987,0
0,14.4,0.0784272,0
0,14.7,0.0743763,0
0,15,0.0705347,0
0,15.3,0.0668915,0
0,15.6,0.0634365,0
0,15.9,0.0601599,0
0,16.2,0.0570526,0
0,16.5,0.0541057,0
0,16.8,0.0513111,0
0,17.1,0.0486608,0
0,17.4,0.0461474,0
0,17.7,0.0437638,0
0,18,0.0415034,0
0,18.3,0.0393597,0
0,18.6,0.0373267,0
0,18.9,0.0353987,0
0,19.2,0.0335703,0
0,19.5,0.0318364,0
0,19.8,0.030192,0
0,20.1,0.0286325,0
0,20.4,0.0271536,0
0,20.7,0.0257511,0
0,21,0.024421,0
0,21.3,0.0231597,0
0,21.6,0.0219634,0
0,21.9,0.020829,0
0,22.2,0.0197531,0
0,22.5,0.0187329,0
0,22.8,0.0177653,0
0,23.1,0.0168477,0
0,23.4,0.0159775,0
0,23.7,0.0151522,0
0,24,0.0143696,0
0,24.3,0.0136274,0
0,24.6,0.0129235,0
0,24.9,0.012256,0
0,25.2,0.011623,0
0,25.5,0.0110226,0
0,25.8,0.0104533,0
0,26.1,0.00991336,0
0,26.4,0.00940132,0
0,26.7,0.00891573,0
0,27,0.00845522,0
0,27.3,0.0080185,0
0,27.6,0.00760434,0
0,27.9,0.00721156,0
0,28.2,0.00683907,0
0,28.5,0.00648583,0
0,28.8,0.00615083,0
0,29.1,0.00583313,0
0,29.4,0.00553184,0
0,29.7,0.00524611,0
0,30,0.00497514,0
0,30.3,0.00471817,0
0,30.6,0.00447447,0
0,30.9,0.00424336,0
0,31.2,0.00402418,0
0,31.5,0.00381633,0
0,31.8,0.00361921,0
0,32.1,0.00343228,0
0,32.4,0.00325499,0
0,32.7,0.00308687,0
0,33,0.00292743,0
0,33.3,0.00277622,0
0,33.6,0.00263283,0
0,33.9,0.00249684,0
0,34.2,0.00236787,0
0,34.5,0.00224557,0
0,34.8,0.00212958,0
0,35.1,0.00201959,0
0,35.4,0.00191527,0
0,35.7,0.00181635,0
0,36,0.00172253,0
0,36.3,0.00163356,0
0,36.6,0.00154918,0
0,36.9,0.00146917,0
0,37.2,0.00139328,0
0,37.5,0.00132132,0
0,37.8,0.00125307,0
0,38.1,0.00118835,0
0,38.4,0.00112697,0
0,38.7,0.00106876,0
0,39,0.00101356,0
0,39.3,0.000961204,0
0,39.6,0.000911556,0
0,39.9,0.000864473,0
0,40.2,0.000819822,0
0,40.5,0.000777477,0
0,40.8,0.00073732,0
0,41.1,0.000699236,0
0,41.4,0.00066312,0
0,41.7,0.000628869,0
0,42,0.000596387,0
0,42.3,0.000565583,0
0,42.6,0.00053637,0
0,42.9,0.000508665,0
0,43.2,0.000482392,0
0,43.5,0.000457476,0
0,43.8,0.000433847,0
0,44.1,0.000411438,0
0,44.4,0.000390187,0
0,44.7,0.000370033,0
0,45,0.00035092,0
0,45.3,0.000332795,0
0,45.6,0.000315606,0
0,45.9,0.000299304,0
0,46.2,0.000283845,0
0,46.5,0.000269184,0
0,46.8,0.00025528,0
0,47.1,0.000242095,0
0,47.4,0.00022959,0
0,47.7,0.000217731,0
0,48,0.000206485,0
0,48.3,0.00019582,0
0,48.6,0.000185706,0
0,48.9,0.000176114,0
0,49.2,0.000167017,0
0,49.5,0.000158391,0
0,49.8,0.00015021,0
0,50.1,0.000142451,0
0,50.4,0.000135093,0
0,50.7,0.000128115,0
0,51,0.000121498,0
0,51.3,0.000115223,0
0,51.6,0.000109271,0
0,51.9,0.000103627,0
0,52.2,9.82747e-05,0
0,52.5,9.31987e-05,0
0,52.8,8.83849e-05,0
0,53.1,8.38197e-05,0
0,53.4,7.94903e-05,0
0,53.7,7.53845e-05,0
0,54,7.14908e-05,0
0,54.3,6.77982e-05,0
0,54.6,6.42964e-05,0
0,54.9,6.09754e-05,0
0,55.2,5.78259e-05,0
0,55.5,5.48391e-05,0
0,55.8,5.20066e-05,0
0,56.1,4.93204e-05,0
0,56.4,4.67729e-05,0
0,56.7,4.43571e-05,0
0,57,4.2066e-05,0
0,57.3,3.98932e-05,0
0,57.6,3.78327e-05,0
0,57.9,3.58786e-05,0
0,58.2,3.40254e-05,0
0,58.5,3.22679e-05,0
0,58.8,3.06013e-05,0
0,59.1,2.90207e-05,0
0,59.4,2.75217e-05,0
0,59.7,2.61002e-05,0
0,60,2.47521e-05,0
0,60.3,2.34736e-05,0
0,60.6,2.22611e-05,0
0,60.9,2.11113e-05,0
0,61.2,2.00209e-05,0
0,61.5,1.89868e-05,0
0,61.8,1.80061e-05,0
0,62.1,1.70761e-05,0
0,62.4,1.61941e-05,0
0,62.7,1.53576e-05,0
0,63,1.45644e-05,0
0,63.3,1.38121e-05,0
0,63.6,1.30987e-05,0
0,63.9,1.24221e-05,0
0,64.2,1.17805e-05,0
0,64.5,1.1172e-05,0
0,64.8,1.0595e-05,0
0,65.1,1.00477e-05,0
0,65.4,9.52876e-06,0
0,65.7,9.03659e-06,0
0,66,8.56984e-06,0
0,66.3,8.12719e-06,0
0,66.6,7.70741e-06,0
0,66.9,7.30932e-06,0
0,67.2,6.93178e-06,0
0,67.5,6.57374e-06,0
0,67.8,6.2342e-06,0
0,68.1,5.9122e-06,0
0,68.4,5.60682e-06,0
0,68.7,5.31723e-06,0
0,69,5.04258e-06,0
0,69.3,4.78213e-06,0
0,69.6,4.53512e-06,0
0,69.9,4.30088e-06,0
0,70.2,4.07873e-06,0
0,70.5,3.86806e-06,0
0,70.8,3.66827e-06,0
0,71.1,3.4788e-06,0
0,71.4,3.29912e-06,0
0,71.7,3.12871e-06,0
0,72,2.96711e-06,0
0,72.3,2.81386e-06,0
0,72.6,2.66852e-06,0
0,72.9,2.53068e-06,0
0,73.2,2.39997e-06,0
0,73.5,2.27601e-06,0
0,73.8,2.15845e-06,0
0,74.1,2.04696e-06,0
0,74.4,1.94124e-06,0
0,74.7,1.84097e-06,0
0,75,1.74588e-06,0
0,75.3,1.6557e-06,0
0,75.6,1.57018e-06,0
0,75.9,1.48908e-06,0
0,76.2,1.41217e-06,0
0,76.5,1.33923e-06,0
0,76.8,1.27006e-06,0
0,77.1,1.20446e-06,0
0,77.4,1.14224e-06,0
0,77.7,1.08325e-06,0
0,78,1.02729e-06,0
0,78.3,9.74233e-07,0
0,78.6,9.23913e-07,0
0,78.9,8.76191e-07,0
0,79.2,8.30935e-07,0
0,79.5,7.88016e-07,0
0,79.8,7.47314e-07,0
0,80.1,7.08714e-07,0
0,80.4,6.72108e-07,0
0,80.7,6.37393e-07,0
0,81,6.04471e-07,0
0,81.3,5.73249e-07,0
0,81.6,5.4364e-07,0
0,81.9,5.1556e-07,0
0,82.2,4.88931e-07,0
0,82.5,4.63677e-07,0
0,82.8,4.39728e-07,0
0,83.1,4.17015e-07,0
0,83.4,3.95476e-07,0
0,83.7,3.75049e-07,0
0,84,3.55677e-07,0
0,84.3,3.37306e-07,0
0,84.6,3.19884e-07,0
0,84.9,3.03361e-07,0
0,85.2,2.87692e-07,0
0,85.5,2.72833e-07,0
0,85.8,2.5874e-07,0
0,86.1,2.45376e-07,0
0,86.4,2.32702e-07,0
0,86.7,2.20683e-07,0
0,87,2.09284e-07,0
0,87.3,1.98474e-07,0
0,87.6,1.88223e-07,0
0,87.9,1.78501e-07,0
0,88.2,1.69281e-07,0
0,88.5,1.60538e-07,0
0,88.8,1.52246e-07,0
0,89.1,1.44382e-07,0
0,89.4,1.36924e-07,0
0,89.7,1.29852e-07,0
0,90,1.23145e-07,0
0,90.3,1.16784e-07,0
0,90.6,1.10752e-07,0
0,90.9,1.05032e-07,0
0,91.2,9.96069e-08,0
0,91.5,9.44621e-08,0
