thresh_cv,grad_cv,seed,readout_pos,time,num_threads
0.01,0.01,24,-3.70339,414.619,32
0.01,0.01,11,-3.70339,415.456,32
0.01,0.01,28,-3.70339,415.585,32
0.01,0.01,23,-3.70339,415.976,32
0.01,0.01,4,-3.70339,416.239,32
0.01,0.01,9,-3.70339,416.455,32
0.01,0.01,16,-3.70339,416.712,32
0.01,0.01,29,-3.70339,416.766,32
0.01,0.01,21,-3.70339,416.805,32
0.01,0.01,2,-3.70339,416.926,32
0.01,0.01,8,-3.70339,416.953,32
0.01,0.01,25,-3.70339,417.007,32
0.01,0.01,20,-3.70339,417.067,32
0.01,0.01,10,-3.70339,417.197,32
0.01,0.01,27,-3.70339,417.242,32
0.01,0.01,14,-3.70339,417.304,32
0.01,0.01,7,-3.70339,417.432,32
0.01,0.01,31,-3.70339,417.469,32
0.01,0.01,30,-3.70339,417.513,32
0.01,0.01,15,-3.70339,417.566,32
0.01,0.01,6,-3.70339,417.679,32
0.01,0.01,26,-3.70339,417.854,32
0.01,0.01,22,-3.70339,417.898,32
0.01,0.01,1,-3.70339,417.939,32
0.01,0.01,12,-3.70339,418.041,32
0.01,0.01,19,-3.70339,418.17,32
0.01,0.01,3,-3.70339,418.311,32
0.01,0.01,13,-3.70339,418.576,32
0.01,0.01,5,-3.70339,418.836,32
0.01,0.01,17,-3.70339,419.078,32
0.01,0.01,18,-3.70339,428.713,32
0.01,0.01,0,-3.70339,501.515,32
0.01,0.05,4,-3.70339,413.202,32
0.01,0.05,24,-3.70339,414.062,32
0.01,0.05,28,-3.70339,414.603,32
0.01,0.05,23,-3.70339,414.718,32
0.01,0.05,20,-3.70339,416.116,32
0.01,0.05,30,-3.70339,416.228,32
0.01,0.05,21,-3.70339,416.285,32
0.01,0.05,14,-3.70339,416.359,32
0.01,0.05,27,-3.70339,416.461,32
0.01,0.05,26,-3.70339,416.555,32
0.01,0.05,15,-3.70339,416.689,32
0.01,0.05,25,-3.70339,416.789,32
0.01,0.05,29,-3.70339,416.968,32
0.01,0.05,2,-3.70339,417.132,32
0.01,0.05,11,-3.70339,417.328,32
0.01,0.05,6,-3.70339,417.433,32
0.01,0.05,22,-3.70339,417.702,32
0.01,0.05,19,-3.70339,417.737,32
0.01,0.05,7,-3.70339,417.918,32
0.01,0.05,5,-3.70339,417.974,32
0.01,0.05,13,-3.70339,418.063,32
0.01,0.05,12,-3.70339,418.104,32
0.01,0.05,8,-3.70339,418.195,32
0.01,0.05,16,-3.70339,418.255,32
0.01,0.05,1,-3.70339,418.298,32
0.01,0.05,31,-3.70339,418.328,32
0.01,0.05,17,-3.70339,418.357,32
0.01,0.05,10,-3.70339,418.374,32
0.01,0.05,9,-3.70339,418.74,32
0.01,0.05,3,-3.70339,418.889,32
0.01,0.05,18,-3.70339,427.791,32
0.01,0.05,0,-3.70339,503.741,32
0.01,0.1,25,-3.70339,413.438,32
0.01,0.1,31,-3.70339,413.587,32
0.01,0.1,24,-3.70339,413.77,32
0.01,0.1,30,-3.70339,414.365,32
0.01,0.1,22,-3.70339,414.424,32
0.01,0.1,4,-3.70339,414.603,32
0.01,0.1,11,-3.70339,414.736,32
0.01,0.1,27,-3.70339,414.777,32
0.01,0.1,7,-3.65254,415.186,32
0.01,0.1,14,-3.70339,415.236,32
0.01,0.1,5,-3.70339,415.281,32
0.01,0.1,29,-3.65254,415.411,32
0.01,0.1,23,-3.70339,415.764,32
0.01,0.1,9,-3.65254,415.87,32
0.01,0.1,19,-3.70339,415.948,32
0.01,0.1,8,-3.70339,416.01,32
0.01,0.1,6,-3.70339,416.087,32
0.01,0.1,2,-3.70339,416.187,32
0.01,0.1,16,-3.70339,416.254,32
0.01,0.1,12,-3.65254,416.355,32
0.01,0.1,20,-3.70339,416.473,32
0.01,0.1,15,-3.70339,416.514,32
0.01,0.1,28,-3.70339,416.58,32
0.01,0.1,21,-3.70339,416.667,32
0.01,0.1,17,-3.70339,416.743,32
