threshold,grad_cv,seed,readout_pos,prec_zone_width,time,num_threads
0.01,5,61,-10.9636,4.72808,753.992,120
0.01,0.5,65,0.254545,1.53578,877.181,120
0.01,7,61,-10.4818,4.84676,883.164,120
0.01,3,64,-7.67879,7.29713,884.409,120
0.01,3,63,-9.39091,2.05013,909.082,120
0.01,0.7,61,-0.0454545,1.67885,916,120
0.01,0.07,65,2.51818,1.44534,921.201,120
0.01,0.03,63,2.45455,1.1592,926.33,120
0.01,0.03,65,2.55758,1.4091,937.157,120
0.01,3,67,-7.23636,4.53576,939.538,120
0.01,10,63,-11.8394,5.43038,941.932,120
0.01,1,64,-1.63636,2.18807,956.809,120
0.01,10,67,-13.4909,6.38337,964.969,120
0.01,0.01,68,2.49091,1.36527,966.235,120
0.01,0.3,65,1.6303,1.5821,966.69,120
0.01,0.07,66,2.53939,1.35268,974.534,120
0.01,10,69,-11.7636,7.76109,978.566,120
0.01,10,61,-13.1515,3.15944,983.28,120
0.01,3,65,-8.11515,2.84913,991.635,120
0.01,3,68,-7.61818,3.68889,993.127,120
0.01,7,63,-11.5879,4.83203,996.228,120
0.01,1,62,-2.45455,2.23462,998.21,120
0.01,0.7,67,-0.215152,2.36538,998.278,120
0.01,0.03,66,2.53939,1.35268,1001.08,120
0.01,0.01,64,2.41818,1.30437,1005.23,120
0.01,10,60,-12.3303,7.42837,1006.02,120
0.01,0.1,60,2.26364,1.50775,1011.85,120
0.01,0.01,65,2.52121,1.45958,1019.42,120
0.01,0.5,66,0.466667,1.86539,1022.27,120
0.01,0.1,61,2.2697,1.36151,1038.3,120
0.01,1,63,-3.21818,3.01593,1039.56,120
0.01,1,61,-1.3,2.4424,1039.94,120
0.01,1,60,-2.11212,2.17516,1040.45,120
0.01,5,65,-9.55758,4.47514,1045.57,120
0.01,7,68,-11.6758,5.1175,1045.94,120
0.01,1,66,-2.2697,3.59408,1049.14,120
0.01,0.07,61,2.4303,1.50855,1054.45,120
0.01,0.07,62,2.30606,1.45093,1058.35,120
0.01,0.5,68,0.812121,1.44513,1063.41,120
0.01,0.7,63,0.0484848,1.52996,1065.67,120
0.01,0.01,67,2.44848,1.22484,1067.06,120
0.01,0.03,62,2.30606,1.45093,1067.41,120
0.01,5,63,-11.4182,4.61501,1068.3,120
0.01,0.3,67,1.62121,1.39771,1069.69,120
0.01,3,62,-9.26364,1.85803,1076.42,120
0.01,0.5,64,0.581818,2.00221,1077.03,120
0.01,0.07,60,2.30303,1.50775,1079.3,120
0.01,5,66,-10.2212,2.76572,1086.8,120
0.01,0.03,69,2.45455,1.585,1091.44,120
0.01,0.5,67,1.12727,1.57223,1093.15,120
0.01,0.1,66,2.49697,1.58756,1096.44,120
0.01,0.01,69,2.45455,1.585,1096.16,120
0.01,0.1,68,2.33333,1.62309,1096.25,120
0.01,0.07,64,2.33939,1.30084,1096.62,120
0.01,0.3,64,1.62424,1.51818,1110.3,120
0.01,0.5,62,0.130303,2.0732,1111.95,120
0.01,0.3,63,2.08485,1.59273,1120.67,120
0.01,0.03,67,2.44848,1.22484,1123.98,120
0.01,1,68,-1.57576,2.92121,1127.03,120
0.01,0.07,68,2.39697,1.52289,1128.82,120
0.01,0.7,68,-0.960606,1.88726,1131.02,120
0.01,0.7,66,-0.378788,2.29265,1134.37,120
0.01,0.03,60,2.44242,1.47218,1134.5,120
0.01,0.01,66,2.53939,1.35268,1145.74,120
0.01,1,65,-1.75758,1.58469,1145.83,120
0.01,0.7,60,-0.554545,1.79227,1156.44,120
0.01,0.1,63,2.45455,1.1592,1162.69,120
0.01,10,62,-13.7242,5.10735,1164.88,120
0.01,0.03,68,2.44848,1.36527,1172.04,120
0.01,0.1,64,2.29697,1.33179,1174.28,120
0.01,5,64,-8.71818,3.87791,1175.85,120
0.01,0.3,60,1.74545,1.45316,1177.45,120
0.01,0.7,65,0.0606061,2.02417,1189.68,120
0.01,0.7,64,0.527273,2.04098,1206.59,120
0.01,0.3,62,1.18485,1.45038,1209.38,120
0.01,0.3,61,1.26667,1.41853,1213.89,120
0.01,7,66,-12.0576,3.9002,1215.34,120
0.01,7,60,-11.4364,5.35469,1220.1,120
0.01,0.1,65,2.48182,1.45958,1224.21,120
0.01,0.03,61,2.47576,1.50855,1226.79,120
0.01,0.7,62,-1.14242,2.27895,1236.67,120
0.01,0.5,60,1.12424,1.96906,1239.83,120
0.01,0.07,67,2.29697,1.40697,1239.96,120
0.01,0.1,67,2.1303,1.33798,1243.83,120
0.01,5,69,-9.63636,3.12298,1244.03,120
0.01,0.1,69,2.37576,1.46041,1260.53,120
0.01,3,60,-8.51515,4.61259,1267.83,120
0.01,1,69,-1.48788,2.08489,1273.69,120
0.01,0.3,68,1.91212,1.39789,1281.6,120
0.01,0.1,62,2.30606,1.45093,1296.17,120
0.01,1,67,-1.5,2.30452,1300.02,120
0.01,7,64,-12.1667,8.47031,1300.72,120
0.01,3,69,-7.81212,8.76978,1308.58,120
0.01,0.5,69,0.648485,1.71746,1311.76,120
0.01,0.5,61,0.89697,1.80992,1316.76,120
0.01,10,68,-12.4091,9.88974,1317.62,120
0.01,0.3,69,1.33333,1.29086,1319.05,120
