threshold,grad_cv,seed,readout_pos,prec_zone_width,time,num_threads
0.001,5,5,-7.26667,7.1026,302.809,120
0.001,5,22,-3.38182,11.1931,303.208,120
0.001,1,0,4.94848,1.61047,328.065,120
0.001,7,23,-8.76061,4.56628,336.552,120
0.001,10,5,-8.67576,12.1157,343.323,120
0.001,10,1,-10.1758,9.04143,358.89,120
0.001,10,23,-7.80303,6.2046,364.133,120
0.001,7,18,-8.5,5.33289,369.752,120
0.001,5,4,-6.33636,7.34108,374.23,120
0.001,7,5,-7.03636,8.43685,375.229,120
0.001,10,0,-10.3394,7.96681,376.072,120
0.001,1,15,5.77879,3.26567,379.702,120
0.001,5,8,-7.17879,16.3485,381.04,120
0.001,7,14,-6.94848,6.98083,384.025,120
0.001,5,18,-6.08485,7.21694,388.544,120
0.001,1,7,4.58788,3.32746,388.488,120
0.001,7,15,-5.75152,5.31266,390.566,120
0.001,10,18,-9.93636,4.80313,391.767,120
0.001,7,20,-6.90909,5.91824,392.565,120
0.001,10,19,-8.87273,8.34165,394.023,120
0.001,7,10,-6.94242,9.03815,401.987,120
0.001,3,7,-1.8,6.15542,403.213,120
0.001,1,20,5.96667,3.44071,405.457,120
0.001,1,16,6.81818,2.4979,409.151,120
0.001,1,17,5.28182,4.1665,412.266,120
0.001,10,13,-9.09394,5.81969,412.832,120
0.001,10,14,-8.7697,8.73915,415.553,120
0.001,7,4,-6.06061,9.10163,416.225,120
0.001,5,14,-6.43333,6.72373,416.433,120
0.001,10,8,-7.62424,18.3117,419.787,120
0.001,1,19,5.37273,4.22393,421.889,120
0.001,5,21,-4.91515,6.13244,422.109,120
0.001,3,12,-3.83636,5.70083,422.528,120
0.001,10,11,-11.4485,8.86391,423.008,120
0.001,3,10,-4.05455,7.56015,422.977,120
0.001,3,3,-3.22424,8.171,424.021,120
0.001,5,11,-8.5303,5.74562,425.448,120
0.001,5,7,-5.33636,4.82969,426.219,120
0.001,5,3,-6.23939,8.90194,426.592,120
0.001,1,1,5.09091,3.15677,427.651,120
0.001,10,21,-9.23333,7.03107,428.194,120
0.001,1,14,6.70606,1.90949,427.769,120
0.001,5,20,-5.65758,8.60578,429.074,120
0.001,3,1,-6.59091,6.85522,429.695,120
0.001,3,0,-5.4697,5.07462,430.015,120
0.001,5,10,-4.62727,6.89192,431.09,120
0.001,3,15,-4.61818,5.38633,431.516,120
0.001,7,17,-8.29394,11.6266,433.787,120
0.001,10,15,-7.80606,5.64798,434.719,120
0.001,5,9,-6.68788,5.35574,438.219,120
0.001,1,12,5.36364,2.61049,440.205,120
0.001,7,21,-7.87879,6.75218,440.284,120
0.001,5,19,-7.27576,8.64928,440.362,120
0.001,3,22,-1.8303,4.35653,440.854,120
0.001,1,6,6.35758,2.41484,441.139,120
0.001,7,1,-8.22727,9.23719,443.587,120
0.001,10,4,-10.0818,5.04932,443.925,120
0.001,1,22,5.55152,1.72568,444.216,120
0.001,3,18,-2.45455,8.44538,445.445,120
0.001,7,13,-7.92727,8.12674,450.846,120
0.001,1,3,5.24545,3.0673,450.996,120
0.001,3,13,-3.87879,3.42123,451.04,120
0.001,10,3,-8.0697,5.97769,451.631,120
0.001,1,21,5.77273,1.99296,455.539,120
0.001,1,23,5.55152,2.60394,455.544,120
0.001,7,7,-6.23636,5.68941,459.993,120
0.001,7,22,-5.13939,8.20503,460.514,120
0.001,7,8,-7.48788,17.8159,462.852,120
0.001,3,21,-3.86061,7.02764,464.959,120
0.001,1,13,4.45758,1.87688,467.616,120
0.001,10,9,-10.4939,3.77513,468.166,120
0.001,5,16,-4.94848,5.42097,468.462,120
0.001,10,2,-11.9303,6.39548,473.477,120
0.001,10,6,-8.45758,4.82607,474.007,120
0.001,1,11,3.74848,2.21202,474.102,120
0.001,10,17,-9.65758,9.76489,474.503,120
0.001,7,6,-5.3697,10.1095,474.885,120
0.001,3,4,-2.35152,8.22922,477.133,120
0.001,7,11,-6.62424,7.93556,482.799,120
0.001,3,8,-1.02727,22.7387,484.355,120
0.001,1,4,5.26061,2.29952,487.848,120
0.001,10,10,-9.90606,6.66564,498.696,120
0.001,1,5,5.80606,2.82499,498.72,120
0.001,5,6,-3.63333,10.1192,503.062,120
0.001,7,2,-9.26667,5.06082,503.825,120
0.001,10,12,-7.7,4.68447,507.667,120
0.001,3,16,-2.06364,4.21828,507.986,120
0.001,5,13,-5.75455,7.58246,518.005,120
0.001,1,9,6.47273,1.89635,520.974,120
0.001,10,20,-10.1212,6.7136,522.551,120
0.001,3,11,-4.66061,4.19703,523.296,120
0.001,3,2,-3.09394,2.09877,525.359,120
0.001,5,2,-8.27273,5.88598,526.759,120
0.001,5,1,-7.4303,8.18439,527.079,120
0.001,1,10,5.40303,2.72077,533.015,120
0.001,10,7,-7.90606,8.45371,533.967,120
0.001,7,19,-8.29394,6.27738,535.343,120
0.001,1,18,4.93939,2.07911,539.344,120
0.001,10,16,-6.7697,5.4381,546.425,120
0.001,1,2,5.48182,1.97111,546.881,120
