frame,j,i,u
1,25,0,0.0229808
1,25,1,0.0239786
1,25,2,0.0244345
1,25,3,0.0240919
1,25,4,0.0228555
1,25,5,0.0213699
1,25,6,0.0206275
1,25,7,0.020543
1,25,8,0.0212178
1,25,9,0.0204955
1,25,10,0.0200404
1,25,11,0.0198684
1,25,12,0.0198537
1,25,13,0.0196981
1,25,14,0.0192583
1,25,15,0.0185124
1,25,16,0.0175392
1,25,17,0.0164261
1,25,18,0.0153094
1,25,19,0.0142253
1,25,20,0.0129997
1,25,21,0.0124802
1,25,22,0.0116418
1,25,23,0.0113384
1,25,24,0.0117678
1,25,25,0.0132224
1,25,26,0.0160598
1,25,27,0.0207447
1,25,28,0.0276033
1,25,29,0.0357112
1,25,30,0.0373172
1,25,31,0.0335634
1,25,32,0.022806
1,25,33,0.0157021
1,25,34,0.0105173
1,25,35,0.00623394
1,25,36,0.00222653
1,25,37,0.000780763
1,25,38,0.000252534
1,25,39,7.13561e-05
1,25,40,1.89032e-05
1,25,41,7.277e-06
1,25,42,2.77213e-06
1,25,43,1.02412e-06
1,25,44,3.61759e-07
1,25,45,1.3364e-07
1,25,46,5.22255e-08
1,25,47,1.911e-08
1,25,48,6.88774e-09
1,25,49,2.17959e-09
1,25,50,5.86312e-10
1,25,51,1.48835e-10
1,25,52,3.85622e-11
1,25,53,5.84707e-12
1,25,54,8.43917e-13
1,25,55,1.39913e-13
1,25,56,4.14811e-14
1,25,57,6.40576e-14
1,25,58,4.14724e-14
1,25,59,1.8089e-14
1,25,60,6.48255e-15
1,25,61,1.96405e-15
1,25,62,2.54205e-16
1,25,63,3.22961e-17
1,25,64,3.8027e-18
1,25,65,3.4204e-19
1,25,66,3.07882e-20
1,25,67,2.80652e-21
1,25,68,2.71636e-22
1,25,69,1.01103e-22
1,25,70,4.17106e-23
1,25,71,1.61622e-23
1,25,72,4.82462e-24
1,25,73,3.06502e-25
1,25,74,2.15985e-26
1,25,75,1.56783e-27
1,25,76,2.46523e-28
1,25,77,1.60567e-28
1,25,78,3.418e-29
1,25,79,1.28189e-29
1,25,80,4.74514e-30
1,25,81,1.52057e-30
1,25,82,4.28947e-31
1,25,83,1.06853e-31
1,25,84,2.46963e-32
1,25,85,4.85862e-33
1,25,86,8.84776e-34
1,25,87,8.15189e-35
1,25,88,7.67191e-36
1,25,89,1.35262e-36
1,25,90,2.4212e-37
1,25,91,3.66238e-38
1,25,92,5.23042e-39
1,25,93,1.98378e-40
1,25,94,7.35803e-42
1,25,95,2.67405e-43
1,25,96,9.81876e-45
1,25,97,9.28249e-46
1,25,98,8.91224e-47
1,25,99,8.27063e-48
1,25,100,5.40197e-49
1,25,101,3.59319e-50
1,25,102,2.43231e-51
1,25,103,1.66269e-52
1,25,104,9.33544e-54
1,25,105,5.59604e-55
1,25,106,3.68212e-56
1,25,107,1.42059e-56
1,25,108,3.16537e-57
1,25,109,5.71964e-58
1,25,110,7.51862e-59
1,25,111,2.21494e-60
1,25,112,6.77228e-62
1,25,113,3.36133e-63
1,25,114,1.84288e-64
1,25,115,1.02204e-65
1,25,116,5.25916e-67
1,25,117,2.57009e-68
1,25,118,1.21075e-69
1,25,119,6.06411e-71
1,25,120,3.00171e-72
1,25,121,1.52371e-73
1,25,122,2.22093e-74
1,25,123,3.13346e-75
1,25,124,2.60792e-76
1,25,125,3.88975e-77
1,25,126,5.06867e-78
1,25,127,6.04103e-79
1,25,128,1.78254e-80
1,25,129,5.23988e-82
1,25,130,1.5323e-83
1,25,131,4.46466e-85
1,25,132,5.95996e-86
1,25,133,7.62696e-87
1,25,134,3.892e-88
1,25,135,2.63356e-89
1,25,136,1.08241e-90
1,25,137,3.8439e-92
1,25,138,1.34974e-93
1,25,139,4.50652e-95
1,25,140,3.90031e-97
1,25,141,3.37495e-99
1,25,142,4.75609e-101
1,25,143,6.60288e-103
1,25,144,9.0382e-105
1,25,145,1.28086e-106
1,25,146,1.19259e-107
1,25,147,1.09265e-108
1,25,148,1.91569e-110
1,25,149,3.46445e-112
1,25,150,1.88386e-113
1,25,151,1.46322e-114
1,25,152,4.19649e-115
1,25,153,4.26567e-116
1,25,154,3.44397e-117
1,25,155,2.3481e-118
1,25,156,1.48758e-119
1,25,157,3.76916e-121
1,25,158,1.0876e-122
1,25,159,4.39007e-124
1,25,160,1.39703e-125
1,25,161,3.9763e-127
1,25,162,1.05991e-128
1,25,163,4.04226e-130
1,25,164,1.45968e-131
1,25,165,5.07745e-133
1,25,166,1.96362e-134
1,25,167,7.38147e-136
1,25,168,2.70868e-137
1,25,169,9.70484e-139
1,25,170,7.91298e-140
1,25,171,5.95359e-141
1,25,172,4.34968e-142
1,25,173,5.42597e-144
1,25,174,6.6925e-146
1,25,175,8.16485e-148
1,25,176,2.56671e-149
1,25,177,8.00623e-151
1,25,178,2.47949e-152
1,25,179,7.63771e-154
1,25,180,2.36525e-155
1,25,181,9.58058e-157
1,25,182,1.26477e-158
1,25,183,5.36942e-160
1,25,184,6.52993e-162
1,25,185,8.27919e-164
1,25,186,4.98637e-165
1,25,187,3.38572e-166
1,25,188,2.1634e-167
1,25,189,1.25313e-168
1,25,190,2.89187e-170
1,25,191,6.08092e-172
1,25,192,1.36564e-173
1,25,193,3.50738e-175
1,25,194,1.01233e-176
1,25,195,4.87854e-178
1,25,196,1.46803e-179
1,25,197,4.60058e-181
1,25,198,1.56056e-182
1,25,199,5.46604e-184
1,25,200,0
1,50,0,0.0169609
1,50,1,0.0182541
1,50,2,0.0190553
1,50,3,0.0196536
1,50,4,0.0199038
1,50,5,0.0212434
1,50,6,0.0236346
1,50,7,0.0269103
1,50,8,0.0294191
1,50,9,0.0311372
1,50,10,0.0310363
1,50,11,0.0291682
1,50,12,0.0235692
1,50,13,0.020254
1,50,14,0.0195324
1,50,15,0.0215752
1,50,16,0.0268167
1,50,17,0.0295578
1,50,18,0.0302512
1,50,19,0.0292209
1,50,20,0.02676
1,50,21,0.0231888
1,50,22,0.0223906
1,50,23,0.0246369
1,50,24,0.0311767
1,50,25,0.0436944
1,50,26,0.0623779
1,50,27,0.0709025
1,50,28,0.0713674
1,50,29,0.0602598
1,50,30,0.0380038
1,50,31,0.0224214
1,50,32,0.0143762
1,50,33,0.00931458
1,50,34,0.00603401
1,50,35,0.00381801
1,50,36,0.00231392
1,50,37,0.00134053
1,50,38,0.00072962
1,50,39,0.000331098
1,50,40,0.000143502
1,50,41,5.94811e-05
1,50,42,2.40489e-05
1,50,43,1.12046e-05
1,50,44,5.17069e-06
1,50,45,2.34778e-06
1,50,46,1.03917e-06
1,50,47,4.35913e-07
1,50,48,1.5729e-07
1,50,49,3.79259e-08
1,50,50,9.1302e-09
1,50,51,3.1359e-09
1,50,52,9.82152e-10
1,50,53,2.88949e-10
1,50,54,3.75582e-11
1,50,55,9.97114e-12
1,50,56,2.23952e-12
1,50,57,4.39657e-13
1,50,58,7.08579e-14
1,50,59,1.37809e-14
1,50,60,2.69861e-15
1,50,61,5.26169e-16
1,50,62,1.02394e-16
1,50,63,1.96888e-17
1,50,64,1.49444e-18
1,50,65,1.10592e-19
1,50,66,1.06059e-20
1,50,67,1.09111e-20
1,50,68,5.05638e-21
1,50,69,1.20144e-21
1,50,70,3.04772e-22
1,50,71,7.93406e-23
1,50,72,1.82865e-23
1,50,73,3.92353e-24
1,50,74,3.71279e-25
1,50,75,3.47249e-26
1,50,76,3.44022e-27
1,50,77,3.73899e-28
1,50,78,8.18655e-30
1,50,79,6.31368e-31
1,50,80,9.58267e-32
1,50,81,5.28074e-32
1,50,82,7.84709e-33
1,50,83,9.02419e-34
1,50,84,9.20037e-35
1,50,85,1.05263e-35
1,50,86,1.01929e-36
1,50,87,1.18752e-37
1,50,88,1.0137e-38
1,50,89,9.0093e-40
1,50,90,1.2374e-40
1,50,91,1.43615e-41
1,50,92,1.9653e-42
1,50,93,1.51559e-43
1,50,94,1.14401e-44
1,50,95,8.4508e-46
1,50,96,6.13495e-47
1,50,97,5.38668e-48
1,50,98,4.56486e-49
1,50,99,3.73368e-50
1,50,100,2.79504e-51
1,50,101,1.86965e-52
1,50,102,1.24298e-53
1,50,103,8.83454e-55
1,50,104,7.02292e-56
1,50,105,6.9976e-57
1,50,106,8.53198e-58
1,50,107,9.6501e-59
1,50,108,9.29394e-60
1,50,109,8.18453e-61
1,50,110,5.68005e-62
1,50,111,1.44386e-63
1,50,112,3.69305e-65
1,50,113,5.16737e-67
1,50,114,7.68136e-69
1,50,115,1.3741e-70
1,50,116,4.3355e-72
1,50,117,1.75878e-73
1,50,118,8.26614e-74
1,50,119,2.05993e-73
1,50,120,7.0914e-74
1,50,121,1.75764e-74
1,50,122,3.46838e-75
1,50,123,2.70477e-76
1,50,124,2.00215e-77
1,50,125,1.42211e-78
1,50,126,4.47389e-80
1,50,127,1.363e-81
1,50,128,5.06703e-83
1,50,129,9.13378e-84
1,50,130,1.2391e-84
1,50,131,1.49373e-85
1,50,132,1.67221e-86
1,50,133,3.51552e-88
1,50,134,7.04357e-90
1,50,135,1.35746e-91
1,50,136,2.48387e-93
1,50,137,6.33093e-95
1,50,138,1.56755e-96
1,50,139,3.78203e-98
1,50,140,8.72789e-100
1,50,141,1.94696e-101
1,50,142,3.34118e-103
1,50,143,2.52651e-104
1,50,144,1.86294e-105
1,50,145,1.34523e-106
1,50,146,9.55645e-108
1,50,147,9.04426e-109
1,50,148,8.47022e-110
1,50,149,7.85373e-111
1,50,150,7.16728e-112
1,50,151,2.93456e-113
1,50,152,1.18754e-114
1,50,153,4.75069e-116
1,50,154,1.87968e-117
1,50,155,7.36622e-119
1,50,156,4.35673e-120
1,50,157,7.45967e-122
1,50,158,1.4726e-123
1,50,159,3.95632e-125
1,50,160,1.6381e-126
1,50,161,3.36094e-127
1,50,162,3.40652e-128
1,50,163,2.82587e-129
1,50,164,1.59401e-131
1,50,165,3.01054e-133
1,50,166,5.50972e-135
1,50,167,9.98018e-137
1,50,168,1.80994e-138
1,50,169,7.11736e-140
1,50,170,2.79811e-141
1,50,171,1.11681e-142
1,50,172,6.32389e-144
1,50,173,3.78948e-145
1,50,174,2.36616e-146
1,50,175,1.47815e-147
1,50,176,1.26943e-149
1,50,177,1.07867e-151
1,50,178,9.0755e-154
1,50,179,7.56755e-156
1,50,180,6.34509e-158
1,50,181,1.24226e-159
1,50,182,2.34359e-161
1,50,183,2.84369e-163
1,50,184,7.413e-165
1,50,185,1.91531e-166
1,50,186,4.7466e-168
1,50,187,1.15055e-169
1,50,188,1.39183e-171
1,50,189,1.795e-172
1,50,190,8.49976e-174
1,50,191,4.57785e-175
1,50,192,3.2627e-176
1,50,193,1.94317e-177
1,50,194,1.05391e-178
1,50,195,5.37865e-180
1,50,196,1.11136e-181
1,50,197,2.26914e-183
1,50,198,4.57982e-185
1,50,199,9.14207e-187
1,50,200,0
1,75,0,0.0107945
1,75,1,0.0115194
1,75,2,0.012917
1,75,3,0.0151712
1,75,4,0.0185357
1,75,5,0.0229464
1,75,6,0.0255317
1,75,7,0.0264931
1,75,8,0.0258193
1,75,9,0.0234776
1,75,10,0.018884
1,75,11,0.0139518
1,75,12,0.0109673
1,75,13,0.00968584
1,75,14,0.0101377
1,75,15,0.0106657
1,75,16,0.0111392
1,75,17,0.0114797
1,75,18,0.011865
1,75,19,0.0125781
1,75,20,0.014076
1,75,21,0.0152733
1,75,22,0.0164153
1,75,23,0.0178223
1,75,24,0.0199051
1,75,25,0.0216707
1,75,26,0.0234507
1,75,27,0.0255623
1,75,28,0.0285784
1,75,29,0.0292532
1,75,30,0.0279778
1,75,31,0.0242524
1,75,32,0.015788
1,75,33,0.0101707
1,75,34,0.00648509
1,75,35,0.00399539
1,75,36,0.00228057
1,75,37,0.00121888
1,75,38,0.000628054
1,75,39,0.000320006
1,75,40,0.000160693
1,75,41,7.7315e-05
1,75,42,3.10494e-05
1,75,43,1.16179e-05
1,75,44,4.10066e-06
1,75,45,1.38555e-06
1,75,46,5.07562e-07
1,75,47,1.75257e-07
1,75,48,5.64429e-08
1,75,49,1.13902e-08
1,75,50,2.12804e-09
1,75,51,2.98479e-10
1,75,52,3.92544e-11
1,75,53,4.86596e-12
1,75,54,5.97656e-13
1,75,55,1.50879e-13
1,75,56,3.8906e-14
1,75,57,1.01533e-14
1,75,58,2.43229e-15
1,75,59,5.07146e-16
1,75,60,4.48235e-17
1,75,61,4.99462e-18
1,75,62,7.41324e-19
1,75,63,2.93564e-19
1,75,64,7.4458e-20
1,75,65,1.53085e-20
1,75,66,2.72833e-21
1,75,67,4.04889e-22
1,75,68,1.43001e-23
1,75,69,4.80125e-25
1,75,70,1.54263e-26
1,75,71,8.11816e-28
1,75,72,7.16072e-28
1,75,73,1.96477e-28
1,75,74,5.62625e-29
1,75,75,1.13902e-29
1,75,76,2.49854e-30
1,75,77,3.76668e-31
1,75,78,5.18605e-32
1,75,79,6.83332e-33
1,75,80,7.72929e-34
1,75,81,1.85865e-34
1,75,82,3.6696e-35
1,75,83,7.06464e-36
1,75,84,8.20705e-37
1,75,85,9.61609e-38
1,75,86,1.13406e-38
1,75,87,1.33757e-39
1,75,88,1.5965e-40
1,75,89,5.18951e-42
1,75,90,2.65155e-43
1,75,91,9.52576e-45
1,75,92,2.98634e-46
1,75,93,8.00459e-48
1,75,94,1.0633e-48
1,75,95,1.51425e-49
1,75,96,2.02361e-50
1,75,97,2.56747e-51
1,75,98,2.95231e-52
1,75,99,5.26559e-53
1,75,100,9.01052e-54
1,75,101,1.44168e-54
1,75,102,4.03633e-56
1,75,103,4.21093e-57
1,75,104,4.17818e-58
1,75,105,4.10281e-59
1,75,106,3.98461e-60
1,75,107,3.61509e-61
1,75,108,2.38018e-62
1,75,109,1.45917e-63
1,75,110,8.8765e-65
1,75,111,5.30316e-66
1,75,112,3.12156e-67
1,75,113,2.46932e-68
1,75,114,2.09164e-70
1,75,115,1.73931e-72
1,75,116,1.52473e-74
1,75,117,1.7342e-75
1,75,118,1.65466e-76
1,75,119,1.44181e-77
1,75,120,1.17666e-78
1,75,121,4.96938e-80
1,75,122,2.58496e-81
1,75,123,2.85715e-82
1,75,124,2.75618e-83
1,75,125,2.20241e-84
1,75,126,1.59466e-85
1,75,127,1.08123e-86
1,75,128,7.02456e-88
1,75,129,4.42852e-89
1,75,130,4.0149e-90
1,75,131,3.54846e-91
1,75,132,3.08401e-92
1,75,133,2.64913e-93
1,75,134,2.25362e-94
1,75,135,1.87442e-95
1,75,136,6.05869e-97
1,75,137,1.91202e-98
1,75,138,5.91941e-100
1,75,139,1.9839e-101
1,75,140,1.27423e-102
1,75,141,7.45008e-104
1,75,142,7.955e-105
1,75,143,8.25484e-106
1,75,144,8.34939e-107
1,75,145,8.13164e-108
1,75,146,7.63962e-109
1,75,147,3.12442e-110
1,75,148,1.26137e-111
1,75,149,5.02911e-113
1,75,150,1.98149e-114
1,75,151,7.77788e-116
