threshold,cv,seed,readout_pos,prec_zone_width,time,num_threads
0.01,0.01,0,2.27576,1.24924,1602.83,120
0.01,0.01,1,2.35758,1.62302,1204.29,120
0.01,0.01,2,2.40303,1.44427,943.099,120
0.01,0.01,3,2.53636,1.46232,1186.88,120
0.01,0.01,4,2.32424,1.59662,926.985,120
0.01,0.01,5,2.52424,1.47813,1046.86,120
0.01,0.01,6,2.48788,1.5389,899.899,120
0.01,0.01,7,2.47879,1.65579,924.061,120
0.01,0.01,8,2.39394,24.7904,1161.29,120
0.01,0.01,9,2.41818,1.3355,1092.25,120
0.01,0.01,10,2.54848,1.21467,1562.69,120
0.01,0.01,11,2.36061,1.51667,1059.25,120
0.01,0.01,12,2.52121,1.36037,819.874,120
0.01,0.01,13,2.42121,1.40187,1031.48,120
0.01,0.01,14,2.45758,1.4678,1018.91,120
0.01,0.01,15,2.59091,1.27661,1017.55,120
0.01,0.01,16,2.5,1.29117,1005.79,120
0.01,0.01,17,2.66667,1.50653,1006.42,120
0.01,0.01,18,2.3,1.63532,828.813,120
0.01,0.01,19,2.63636,1.52931,1027.02,120
0.01,0.01,20,2.42424,1.43437,1950.06,120
0.01,0.01,21,2.40909,1.20905,1051.36,120
0.01,0.01,22,2.49697,1.33143,1005.25,120
0.01,0.01,23,2.38182,1.06606,1052.35,120
0.01,0.01,24,2.4697,1.4835,1005.21,120
0.01,0.01,25,2.35152,1.59865,1077.33,120
0.01,0.01,26,2.41818,1.36276,1009.44,120
0.01,0.01,27,2.35455,1.2652,958.932,120
0.01,0.01,28,2.52424,1.26306,802.977,120
0.01,0.01,29,2.43636,1.57035,993.357,120
0.01,0.01,30,2.6,1.34198,1527.65,120
0.01,0.01,31,2.53939,1.31676,873.635,120
0.01,0.01,32,2.61818,1.42642,896.969,120
0.01,0.01,33,2.48182,1.36854,1248.43,120
0.01,0.01,34,2.57879,1.47967,904.33,120
0.01,0.01,35,2.42121,1.36798,874.39,120
0.01,0.01,36,2.56364,1.28843,842.801,120
0.01,0.01,37,2.37879,1.35158,1111.04,120
0.01,0.01,38,2.46061,1.49037,981.595,120
0.01,0.01,39,2.27273,1.29037,980.103,120
0.01,0.01,40,2.53636,1.35942,1539.77,120
0.01,0.01,41,2.58485,1.30833,961.513,120
0.01,0.01,42,2.42121,1.29806,887.464,120
0.01,0.01,43,2.22727,1.2698,954.623,120
0.01,0.01,44,2.45455,1.37288,1000.2,120
0.01,0.01,45,2.57576,1.46713,1128.48,120
0.01,0.01,46,2.40606,1.49106,942.137,120
0.01,0.01,47,2.53939,1.33947,1110.73,120
0.01,0.01,48,2.29394,1.22228,863.269,120
0.01,0.01,49,2.41515,1.25337,911.463,120
0.01,0.01,50,2.35758,31.0706,1597.99,120
0.01,0.01,51,2.72121,1.31035,1043.59,120
0.01,0.01,52,2.46061,1.35378,783.987,120
0.01,0.01,53,2.39697,1.15799,1128.25,120
0.01,0.01,54,2.58788,1.57844,1080.55,120
0.01,0.01,55,2.47273,1.52301,1278.57,120
0.01,0.01,56,2.40303,1.37375,1046.39,120
0.01,0.01,57,2.42121,1.54717,941.384,120
0.01,0.01,58,2.54545,1.46925,821.048,120
0.01,0.01,59,2.4697,1.41035,812.354,120
0.01,0.01,60,2.5303,1.32318,2089.58,120
