threshold,grad_cv,seed,readout_pos,prec_zone_width,time,num_threads
0.01,0.01,12,2.52121,1.36037,819.874,120
0.01,0.7,15,-0.069697,1.97679,826.737,120
0.01,7,14,-10.5394,6.33033,826.737,120
0.01,0.01,18,2.3,1.63532,828.813,120
0.01,0.07,17,2.80909,1.48094,839.824,120
0.01,0.1,12,2.43636,1.36027,840.145,120
0.01,0.07,18,2.20606,1.30219,846.615,120
0.01,1,19,-1.10303,3.74246,859.139,120
0.01,5,12,-6.20909,5.27,866.188,120
0.01,0.3,11,1.5,1.29582,868.728,120
0.01,10,10,-10.9061,5.26981,868.765,120
0.01,7,17,-10.0939,4.42335,868.908,120
0.01,0.5,17,0.745455,1.85248,872.712,120
0.01,0.03,18,2.24848,1.63532,874.261,120
0.01,0.1,15,2.51212,1.1605,903.994,120
0.01,7,10,-11.0909,3.69436,910.304,120
0.01,0.07,15,2.54545,1.20451,911.509,120
0.01,0.03,11,2.32727,1.51667,924.444,120
0.01,0.03,13,2.46061,1.40874,925.876,120
0.01,10,12,-11.6758,7.7128,930.885,120
0.01,0.07,19,2.54242,1.63819,938.941,120
0.01,0.03,10,2.54848,1.21467,945.64,120
0.01,1,18,-2.38788,2.14866,948.286,120
0.01,3,12,-8.30303,4.31947,958.338,120
0.01,0.7,13,-0.172727,1.84285,964.576,120
0.01,0.1,10,2.34242,1.46058,968.957,120
0.01,0.5,14,1.4303,2.47424,974.818,120
0.01,0.03,12,2.52121,1.36037,976.16,120
0.01,0.1,19,2.41212,1.70408,977.973,120
0.01,3,16,-8.31818,6.92059,978.707,120
0.01,0.7,12,-0.451515,2.58367,982.713,120
0.01,1,10,-2.3,2.26721,983.175,120
0.01,1,17,-1.58485,1.64203,984.755,120
0.01,1,11,-2.32424,1.80216,986.79,120
0.01,7,15,-10.1515,6.21567,988.128,120
0.01,5,17,-8.72121,5.44489,991.82,120
0.01,0.1,11,2.19697,1.67992,993.188,120
0.01,3,10,-9.34242,3.90621,993.483,120
0.01,3,19,-6.44545,5.25943,994.626,120
0.01,0.03,14,2.55152,1.67251,997.537,120
0.01,1,12,-1.44242,2.69268,1000.57,120
0.01,5,18,-10.2273,3.09302,1001.41,120
0.01,0.5,11,0.948485,2.29322,1001.81,120
0.01,0.07,13,2.42121,1.40187,1002.69,120
0.01,0.5,19,0.636364,1.35,1003.56,120
0.01,0.3,15,1.87273,1.59388,1004.47,120
0.01,0.01,16,2.5,1.29117,1005.79,120
0.01,0.3,18,1.65758,1.69504,1006.38,120
0.01,7,11,-11.697,6.08317,1006.37,120
0.01,0.01,17,2.66667,1.50653,1006.42,120
0.01,3,11,-9.69091,5.23307,1007.11,120
0.01,1,15,-1.22727,1.69634,1007.4,120
0.01,0.03,19,2.63636,1.52931,1011.81,120
0.01,0.5,10,1.47879,2.27826,1016.48,120
0.01,10,11,-12.7576,8.94053,1016.69,120
0.01,0.3,14,2,1.45102,1017.14,120
0.01,0.01,15,2.59091,1.27661,1017.55,120
0.01,0.01,14,2.45758,1.4678,1018.91,120
0.01,10,14,-12.3788,3.06633,1021.37,120
0.01,10,18,-13.9758,5.79917,1022.24,120
0.01,3,13,-6.32121,4.53577,1022.43,120
0.01,3,18,-7.91212,2.31623,1024.55,120
0.01,0.01,19,2.63636,1.52931,1027.02,120
0.01,0.3,13,1.23636,1.62767,1029.76,120
0.01,0.1,17,2.84848,1.40151,1029.74,120
0.01,0.3,16,1.61515,1.68346,1030.76,120
0.01,0.01,13,2.42121,1.40187,1031.48,120
0.01,7,18,-11.0121,4.01176,1034.69,120
0.01,1,14,0.248485,1.74277,1034.77,120
0.01,0.5,15,0.70303,1.73042,1037.1,120
0.01,0.07,16,2.5,1.29117,1037.05,120
0.01,10,19,-13.7394,5.07113,1037.86,120
0.01,5,19,-10.7636,6.10543,1039.08,120
0.01,0.5,13,1.08788,2.0814,1046.17,120
0.01,5,16,-11.7515,4.76118,1047.16,120
0.01,3,17,-7.24545,6.13561,1047.7,120
0.01,0.3,17,1.72727,1.66301,1047.95,120
0.01,0.5,16,1.10909,1.31023,1049.8,120
0.01,0.1,13,2.37273,1.6142,1050.57,120
0.01,7,12,-8.63939,4.47989,1052.03,120
0.01,0.07,10,2.39091,1.48435,1052.08,120
0.01,5,15,-10.1394,7.69087,1052.73,120
0.01,0.5,18,-0.0545455,1.63185,1052.69,120
0.01,5,14,-11.3606,6.01462,1052.76,120
0.01,10,16,-12.2576,7.4325,1054.04,120
0.01,1,16,-2.42121,2.66214,1054.51,120
0.01,10,17,-11.3909,5.33576,1057.08,120
0.01,0.01,11,2.36061,1.51667,1059.25,120
0.01,0.07,14,2.55152,1.67251,1062.07,120
0.01,0.1,16,2.54545,1.58592,1062.45,120
0.01,3,14,-4.67576,9.10124,1064.26,120
0.01,0.07,11,2.29394,1.51667,1068.31,120
0.01,0.07,12,2.47576,1.32326,1069.19,120
0.01,0.03,15,2.59091,1.27661,1071.29,120
0.01,7,16,-12.5576,4.07076,1071.84,120
0.01,7,19,-9.92727,5.4182,1072.92,120
0.01,0.03,17,2.66667,1.50653,1073.44,120
0.01,0.7,14,-0.348485,1.76687,1074.94,120
0.01,0.7,16,-0.281818,1.60014,1075.16,120
0.01,0.7,11,0.0878788,1.8087,1075.3,120
0.01,7,13,-10.8879,9.25332,1075.76,120
0.01,5,11,-9.22424,2.64115,1083.4,120
0.01,0.7,17,0.187879,3.00271,1085.74,120
0.01,0.3,12,1.53939,1.62096,1089.26,120
0.01,0.7,10,-0.457576,1.56083,1092.45,120
0.01,0.5,12,0.624242,1.74011,1094.36,120
0.01,0.3,19,1.9303,1.81742,1096.54,120
0.01,3,15,-8.24848,2.25104,1097.05,120
0.01,0.1,14,2.55152,1.67251,1099.25,120
0.01,0.7,19,-0.457576,2.42454,1099.87,120
0.01,10,13,-11.097,5.15302,1119.92,120
0.01,0.7,18,-0.230303,1.88231,1122.27,120
0.01,5,13,-11.0758,4.45362,1124.2,120
0.01,5,10,-9.31212,3.29943,1141.7,120
0.01,0.03,16,2.5,1.29117,1151.04,120
0.01,1,13,-1.2303,1.87524,1160.79,120
0.01,0.1,18,2.16667,1.30219,1246.88,120
0.01,10,15,-10.4182,4.21012,1268.63,120
0.01,0.3,10,1.45152,1.983,1296.8,120
0.01,0.01,10,2.54848,1.21467,1562.69,120
