threshold,width,seed,readout_pos,prec_zone_width,time,num_threads
0.1,2,0,-12.42,0.487031,905.122,120
0.1,2,1,-10.32,0.214414,61.2548,120
0.1,2,2,-11.7,0.423803,55.1979,120
0.1,2,3,-9.12,0.209906,63.3502,120
0.1,2,4,-9.96,0.780924,71.281,120
0.1,2,5,-9.84,0.70773,50.785,120
0.1,2,6,-10.32,0.653413,72.945,120
0.1,2,7,-9.84,0.823063,58.5148,120
0.1,2,8,-11.52,1.02106,71.8088,120
0.1,2,9,-10.2,0.973183,71.46,120
0.1,2,10,-9.18,0.493264,844.937,120
0.1,2,11,-8.64,0.488653,48.2389,120
0.1,2,12,-9.18,0.800407,56.3048,120
0.1,2,13,-10.02,0.375887,55.9532,120
0.1,2,14,-10.56,0.717425,69.9768,120
0.1,2,15,-10.32,0.637551,71.1895,120
0.1,2,16,-11.1,0.151398,48.6027,120
0.1,2,17,-11.28,0.443772,52.401,120
0.1,2,18,-9.42,0.675461,79.5749,120
0.1,2,19,-10.8,0.602253,54.1134,120
0.1,2,20,-10.32,0.635691,889.945,120
0.1,2,21,-9.3,0.274431,49.4973,120
0.1,2,22,-11.22,1.14327,58.3467,120
0.1,2,23,-9.18,1.21171,80.6995,120
0.1,2,24,-9.6,0.574093,50.5175,120
0.1,2,25,-11.04,0.537571,49.7351,120
0.1,2,26,-10.14,0.910278,50.1832,120
0.1,2,27,-10.92,0.902907,81.5351,120
0.1,2,28,-9.96,0.345351,82.4171,120
0.1,2,29,-10.5,0.698175,53.5645,120
0.1,2,30,-10.98,0.828181,671.566,120
0.1,2,31,-8.76,0.884628,78.6775,120
0.1,2,32,-11.64,0.650339,56.7822,120
0.1,2,33,-11.28,0.315295,71.8029,120
0.1,2,34,-11.7,0.271773,126.018,120
0.1,2,35,-9.36,0.624187,68.6764,120
0.1,2,36,-10.8,0.455694,56.2757,120
0.1,2,37,-11.1,0.350831,80.2797,120
0.1,2,38,-9.66,1.15373,59.8868,120
0.1,2,39,-9.3,0.644759,54.2438,120
0.1,2,40,-10.98,0.565702,410.81,120
0.1,2,41,-10.02,0.262628,49.907,120
0.1,2,42,-9.78,0.47501,59.6268,120
0.1,2,43,-11.52,0.360132,79.4858,120
0.1,2,44,-10.92,0.268648,71.9248,120
0.1,2,45,-11.28,1.01756,52.8903,120
0.1,2,46,-10.74,0.831131,59.4685,120
0.1,2,47,-10.08,0.320904,79.3559,120
0.1,2,48,-10.5,0.536956,55.9704,120
0.1,2,49,-10.08,0.943318,54.9105,120
0.1,2,50,-8.94,0.249102,614.014,120
0.1,2,51,-10.92,0.491528,50.7655,120
0.1,2,52,-9.9,0.608195,78.2738,120
0.1,2,53,-9.12,0.346626,71.6865,120
0.1,2,54,-10.68,0.469448,58.1996,120
0.1,2,55,-9.72,0.46794,48.8627,120
0.1,2,56,-11.58,0.35088,54.46,120
0.1,2,57,-12.12,0.272127,70.948,120
0.1,2,58,-8.4,0.586758,71.7102,120
0.1,2,59,-10.98,0.587394,84.1586,120
0.1,2,60,-11.04,0.749602,787.482,120
0.1,2,61,-11.58,0.446253,62.4944,120
0.1,2,62,-9.84,0.787839,61.7782,120
0.1,2,63,-10.02,0.404368,77.4091,120
0.1,2,64,-9.12,0.190714,56.0964,120
0.1,2,65,-8.76,1.2423,75.207,120
0.1,2,66,-12.24,0.963338,60.1019,120
0.1,2,67,-10.98,1.06979,60.0252,120
0.1,2,68,-9.6,0.342941,59.7596,120
0.1,2,69,-7.98,0.552495,50.8744,120
0.1,2,70,-11.88,1.3791,679.64,120
0.1,2,71,-11.04,0.674679,46.7333,120
0.1,2,72,-10.86,0.570935,52.6623,120
0.1,2,73,-11.64,1.33077,81.8392,120
0.1,2,74,-9.24,0.614132,72.5175,120
0.1,2,75,-9.96,0.249815,52.6582,120
0.1,2,76,-10.86,0.557239,90.8733,120
