threshold,width,seed,readout_pos,prec_zone_width,time,num_threads
0.0001,2,97,27.36,0.316264,54.7486,120
0.0001,2,93,28.08,1.12965,60.6552,120
0.0001,2,91,27,0.861154,60.8312,120
0.0001,2,96,28.98,0.399867,71.8932,120
0.0001,2,92,28.38,0.871313,76.6097,120
0.0001,2,99,27.9,0.808865,80.8279,120
0.0001,2,94,26.82,0.327923,81.9153,120
0.0001,2,98,28.32,58.5633,82.0682,120
0.0001,2,95,28.02,0.462591,90.5687,120
0.0001,4,95,26.675,1.25962,95.9641,120
0.0001,4,96,26.7,0.599195,108.155,120
0.0001,4,92,27.425,0.694565,118.548,120
0.0001,4,94,25.825,0.843005,118.948,120
0.0001,4,98,26.775,0.473245,149.298,120
0.0001,4,91,26.6,0.881093,151.604,120
0.0001,4,93,26.775,0.944258,151.733,120
0.0001,6,98,27.0947,0.933334,155.457,120
0.0001,4,90,26.525,0.973828,170.037,120
0.0001,4,97,26.4,0.632561,175.806,120
0.0001,6,93,26.0842,0.654038,175.592,120
0.0001,6,90,26.0053,1.45103,176.566,120
0.0001,8,91,25.596,1.20799,177.664,120
0.0001,4,99,27.325,0.567905,179.084,120
0.0001,8,97,25.944,0.747779,180.202,120
0.0001,8,96,26.268,53.6501,201.031,120
0.0001,6,94,26.4316,1.14115,221.015,120
0.0001,8,92,26.244,1.38317,220.795,120
0.0001,10,98,26.4281,1.27056,222.416,120
0.0001,6,95,26.4474,1.15106,223.854,120
0.0001,6,99,26.7789,31.7684,231.882,120
0.0001,6,96,26.6842,1.00713,232.655,120
0.0001,6,92,26.7316,1.45696,247.977,120
0.0001,8,94,26.676,1.28498,253.56,120
0.0001,6,91,24.7421,1.32255,254.076,120
0.0001,8,98,26.28,0.817522,260.143,120
0.0001,13,97,25.9,1.40668,262.092,120
0.0001,13,91,25.7692,1.19687,268.791,120
0.0001,10,96,26.2312,1.30792,270.542,120
0.0001,10,94,26.0531,1.23841,272.587,120
0.0001,13,93,25.4231,1.37283,293.488,120
0.0001,8,99,25.956,55.3841,294.706,120
0.0001,8,93,26.064,1.05793,294.808,120
0.0001,13,96,26.3846,1.37527,297.833,120
0.0001,13,90,25.6769,1.52833,298.515,120
0.0001,8,95,25.944,1.12333,302.233,120
0.0001,8,90,26.28,1.53432,318.012,120
0.0001,10,97,25.8844,1.0644,318.585,120
0.0001,10,95,25.9875,1.19754,321.627,120
0.0001,10,93,25.4813,1.2335,329.774,120
0.0001,10,90,25.9031,1.62269,335.416,120
