threshold,grad_cv,seed,readout_pos,prec_zone_width,time,num_threads
0.001,10,87,-7.39394,6.43471,743.52,120
0.001,1,87,8.28788,2.60999,815.133,120
0.001,0.1,85,15.6485,1.53926,816.433,120
0.001,0.3,83,14.1727,1.6809,839.835,120
0.001,5,84,-3.93939,4.81479,925.975,120
0.001,3,84,-0.524242,4.42627,965.184,120
0.001,0.5,84,12.597,1.78206,972.407,120
0.001,0.03,83,15.5515,1.43761,973.557,120
0.001,0.01,81,15.5939,1.63613,985.321,120
0.001,1,82,8.64848,2.58774,999.406,120
0.001,5,80,-4.57576,4.44961,1000.76,120
0.001,0.07,85,15.7273,1.46682,1004.81,120
0.001,0.7,86,11.6727,3.42334,1006.71,120
0.001,0.5,87,13.7455,1.55751,1028.71,120
0.001,0.1,82,15.5242,1.32676,1040.64,120
0.001,7,87,-6.8697,9.05505,1041.29,120
0.001,0.5,85,13.3727,1.679,1051.71,120
0.001,1,80,9.89091,1.80183,1052.76,120
0.001,0.3,82,14.3515,1.34031,1057.95,120
0.001,0.7,83,10.0121,1.60715,1062.93,120
0.001,1,84,8.74848,2.81793,1063.76,120
0.001,0.1,80,15.3364,1.2265,1067.67,120
0.001,7,81,-5.69091,10.6687,1073.35,120
0.001,10,88,-7.15758,3.47097,1080.93,120
0.001,0.07,84,15.6242,1.56572,1099.83,120
0.001,0.3,85,14.0242,2.28918,1100.15,120
0.001,0.03,88,15.5879,1.45649,1134.3,120
0.001,0.7,88,11.2091,2.1911,1134.98,120
0.001,7,80,-6.96667,3.97669,1140.9,120
0.001,1,86,7.45455,1.97299,1147.29,120
0.001,3,89,0.030303,2.68003,1166.33,120
0.001,10,86,-9.12121,9.83406,1173.79,120
0.001,3,88,0.757576,6.31747,1176.54,120
0.001,0.07,83,15.5515,1.43761,1176.96,120
0.001,0.07,82,15.6394,1.22402,1185.93,120
0.001,0.1,89,15.6,1.31444,1189.77,120
0.001,5,87,-2.30303,4.21403,1190.66,120
0.001,0.07,89,15.6364,1.31444,1196.81,120
0.001,7,89,-6.95758,4.88871,1198.69,120
0.001,0.1,88,15.4576,1.43135,1224.34,120
0.001,0.5,81,12.497,1.72309,1227.62,120
0.001,0.03,81,15.5939,1.63613,1229.04,120
0.001,0.5,89,13.5848,1.65648,1232.11,120
0.001,10,83,-7.30909,5.29955,1234.79,120
0.001,3,87,1.77879,3.87498,1235.43,120
0.001,0.7,82,10.6515,2.11169,1237.27,120
0.001,0.3,84,14.4576,1.39959,1247.41,120
0.001,0.07,81,15.5939,1.63613,1252.49,120
0.001,3,81,0.481818,4.48792,1257.83,120
0.001,0.3,80,13.5727,1.52523,1259.95,120
0.001,0.1,86,15.6152,1.43205,1262.99,120
0.001,0.01,82,15.6394,1.22402,1266.99,120
0.001,0.3,87,14.2545,1.55805,1275.75,120
0.001,5,82,-5.74242,6.31424,1285.63,120
0.001,5,81,-3.85758,6.06453,1286.43,120
0.001,0.03,89,15.6727,1.26554,1287.96,120
0.001,0.7,89,10.7242,1.6944,1290.42,120
0.001,0.07,88,15.4576,1.43135,1291.89,120
0.001,0.1,83,15.5242,1.61554,1294.27,120
0.001,10,80,-8.64242,3.71311,1302.95,120
0.001,1,89,7.88788,2.37977,1305.33,120
0.001,0.03,87,15.7212,1.56941,1307.85,120
0.001,0.03,82,15.6394,1.22402,1308.5,120
0.001,0.07,86,15.6152,1.43205,1309.26,120
0.001,7,84,-8.46364,5.10634,1311.21,120
0.001,1,83,8.33333,3.54902,1311.66,120
0.001,0.07,87,15.6242,1.37933,1315.02,120
0.001,0.5,86,12.4848,1.34158,1321.68,120
0.001,0.1,84,15.5364,1.48159,1329.93,120
0.001,0.7,81,11.2576,1.93817,1338.15,120
