ThreshCV GradCV sharpness
0.1 0.1 4.25609
0.1 0.1 4.77426
0.1 0.1 4.51178
0.1 0.1 4.909
0.1 0.1 4.77757
0.1 0.2 4.63197
0.1 0.2 4.20212
0.1 0.2 4.61452
0.1 0.2 4.1087
0.1 0.2 4.39981
0.1 0.3 4.4311
0.1 0.3 5.08003
0.1 0.3 4.12984
0.1 0.3 5.33119
0.1 0.3 5.08754
0.1 0.5 4.40356
0.1 0.5 4.52013
0.1 0.5 4.27293
0.1 0.5 4.26764
0.1 0.5 5.10974
0.1 0.7 5.31957
0.1 0.7 4.04011
0.1 0.7 4.1719
0.1 0.7 5.38631
0.1 0.7 3.53455
0.1 1 4.38331
0.1 1 4.77704
0.1 1 3.25711
0.1 1 3.05149
0.1 1 4.97589
0.2 0.1 8.23344
0.2 0.1 7.65841
0.2 0.1 7.36767
0.2 0.1 7.07271
0.2 0.1 8.35862
0.2 0.2 10.9704
0.2 0.2 7.01853
0.2 0.2 7.3957
0.2 0.2 9.21508
0.2 0.2 8.73406
0.2 0.3 6.72573
0.2 0.3 8.54271
0.2 0.3 9.57
0.2 0.3 6.8783
0.2 0.3 7.85598
0.2 0.5 8.69274
0.2 0.5 7.54503
0.2 0.5 7.57021
0.2 0.5 7.26633
0.2 0.5 7.29561
0.2 0.7 7.42546
0.2 0.7 7.93329
0.2 0.7 8.30199
0.2 0.7 7.37047
0.2 0.7 8.64111
0.2 1 6.40439
0.2 1 5.04044
0.2 1 7.45414
0.2 1 7.1823
0.2 1 6.13943
0.3 0.1 11.4255
0.3 0.1 13.4422
0.3 0.1 12.8284
0.3 0.1 12.662
0.3 0.1 12.484
0.3 0.2 12.172
0.3 0.2 13.3608
0.3 0.2 12.2326
0.3 0.2 8.70299
0.3 0.2 11.2601
0.3 0.3 11.4893
0.3 0.3 10.6701
0.3 0.3 11.4707
0.3 0.3 10.9368
0.3 0.3 10.9476
0.3 0.5 10.104
0.3 0.5 10.2105
0.3 0.5 9.66888
0.3 0.5 8.44234
0.3 0.5 11.4535
0.3 0.7 11.0939
0.3 0.7 9.1712
0.3 0.7 6.96634
0.3 0.7 8.5899
0.3 0.7 8.67472
0.3 1 9.07183
0.3 1 8.60535
0.3 1 8.89231
0.3 1 6.1255
0.3 1 10.6844
0.5 0.1 17.3921
0.5 0.1 19.7171
0.5 0.1 14.2101
0.5 0.1 22.3261
0.5 0.1 19.9335
0.5 0.2 18.5271
0.5 0.2 18.0585
0.5 0.2 17.6005
0.5 0.2 22.0251
0.5 0.2 15.1373
0.5 0.3 19.4313
0.5 0.3 14.8503
0.5 0.3 17.2696
0.5 0.3 15.5931
0.5 0.3 16.5778
0.5 0.5 16.0737
0.5 0.5 18.3633
0.5 0.5 16.6168
0.5 0.5 17.1929
0.5 0.5 17.8026
0.5 0.7 15.019
0.5 0.7 15.0354
0.5 0.7 17.7682
0.5 0.7 15.085
0.5 0.7 12.5647
0.5 1 13.5234
0.5 1 15.9764
0.5 1 14.0718
0.5 1 11.7782
0.5 1 11.4382
0.7 0.1 31.4789
0.7 0.1 24.1853
0.7 0.1 23.769
0.7 0.1 24.643
0.7 0.1 25.6801
0.7 0.2 23.0171
0.7 0.2 20.8654
0.7 0.2 24.6286
0.7 0.2 27.9369
0.7 0.2 27.3215
0.7 0.3 25.6329
0.7 0.3 25.8329
0.7 0.3 26.8969
0.7 0.3 23.9122
0.7 0.3 24.0741
0.7 0.5 21.972
0.7 0.5 22.4913
0.7 0.5 23.4306
0.7 0.5 22.738
0.7 0.5 19.952
0.7 0.7 18.9037
0.7 0.7 17.5724
0.7 0.7 20.1953
0.7 0.7 19.7148
0.7 0.7 23.5422
0.7 1 17.9335
0.7 1 17.8485
0.7 1 15.0615
0.7 1 14.7196
0.7 1 19.1825
1 0.1 34.4018
1 0.1 34.2625
1 0.1 34.9447
1 0.1 36.6208
1 0.1 38.9798
1 0.2 32.0546
1 0.2 31.7619
1 0.2 32.6374
1 0.2 41.587
1 0.2 32.4466
1 0.3 39.5608
1 0.3 44.3602
1 0.3 28.9869
1 0.3 26.6954
1 0.3 36.8805
1 0.5 30.9174
1 0.5 24.372
1 0.5 32.2241
1 0.5 28.8017
1 0.5 27.6085
1 0.7 23.6464
1 0.7 30.2881
1 0.7 25.6981
1 0.7 23.2691
1 0.7 32.0599
1 1 25.7347
1 1 25.7421
1 1 22.1134
1 1 26.9211
1 1 25.3069
